,Unnamed: 0,Label,Precision,Recall,F_Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count,algorithm,label_algorithm
27,27,I1,0.3846153846153846,0.2941176470588235,0.3333333333333333,177,17,5,8,12,41,66,BR_RF,BR_RF_I1
28,28,I1,0.4444444444444444,0.25,0.32,177,16,4,5,12,45,66,BR_RF,BR_RF_I1
29,29,I1,0.4444444444444444,0.2105263157894736,0.2857142857142857,177,19,4,5,15,42,66,BR_RF,BR_RF_I1
31,31,F1,0.5,0.0625,0.1111111111111111,149,16,1,1,15,50,67,BR_RF,BR_RF_F1
32,32,F1,0.25,0.1818181818181818,0.2105263157894737,149,11,2,6,9,50,67,BR_RF,BR_RF_F1
33,33,F1,0.5,0.1428571428571428,0.2222222222222222,149,21,3,3,18,43,67,BR_RF,BR_RF_F1
34,34,F1,0.3333333333333333,0.2222222222222222,0.2666666666666666,149,9,2,4,7,54,67,BR_RF,BR_RF_F1
35,35,F1,0.1,0.0666666666666666,0.08,149,15,1,9,14,43,67,BR_RF,BR_RF_F1
36,36,F1,0.3333333333333333,0.2307692307692307,0.2727272727272727,149,13,3,6,10,47,66,BR_RF,BR_RF_F1
37,37,F1,0.5555555555555556,0.2272727272727272,0.3225806451612903,149,22,5,4,17,40,66,BR_RF,BR_RF_F1
38,38,F1,0.2,0.0833333333333333,0.1176470588235294,149,12,1,4,11,50,66,BR_RF,BR_RF_F1
39,39,F1,0.2857142857142857,0.1,0.1481481481481481,149,20,2,5,18,41,66,BR_RF,BR_RF_F1
42,42,SP1,0.5,0.1818181818181818,0.2666666666666666,89,11,2,2,9,54,67,BR_RF,BR_RF_SP1
45,45,SP1,0.1666666666666666,0.25,0.2,89,8,2,10,6,49,67,BR_RF,BR_RF_SP1
47,47,SP1,0.6,0.3,0.4,89,10,3,2,7,54,66,BR_RF,BR_RF_SP1
48,48,SP1,1.0,0.25,0.4,89,8,2,0,6,58,66,BR_RF,BR_RF_SP1
49,49,SP1,0.3333333333333333,0.1428571428571428,0.2,89,7,1,2,6,57,66,BR_RF,BR_RF_SP1
50,50,L2,0.5,0.2857142857142857,0.3636363636363636,82,7,2,2,5,58,67,BR_RF,BR_RF_L2
51,51,L2,0.25,0.1428571428571428,0.1818181818181818,82,7,1,3,6,57,67,BR_RF,BR_RF_L2
52,52,L2,0.3333333333333333,0.125,0.1818181818181818,82,8,1,2,7,57,67,BR_RF,BR_RF_L2
53,53,L2,0.5,0.125,0.2,82,8,1,1,7,58,67,BR_RF,BR_RF_L2
54,54,L2,0.6666666666666666,0.3636363636363636,0.4705882352941177,82,11,4,2,7,54,67,BR_RF,BR_RF_L2
55,55,L2,0.6666666666666666,0.2222222222222222,0.3333333333333333,82,9,2,1,7,57,67,BR_RF,BR_RF_L2
56,56,L2,0.2,0.3333333333333333,0.25,82,3,1,4,2,59,66,BR_RF,BR_RF_L2
57,57,L2,0.5,0.3,0.3749999999999999,82,10,3,3,7,53,66,BR_RF,BR_RF_L2
58,58,L2,1.0,0.3,0.4615384615384615,82,10,3,0,7,56,66,BR_RF,BR_RF_L2
59,59,L2,0.75,0.3333333333333333,0.4615384615384615,82,9,3,1,6,56,66,BR_RF,BR_RF_L2
66,66,FP5,1.0,0.3333333333333333,0.5,34,3,1,0,2,63,66,BR_RF,BR_RF_FP5
