,Unnamed: 0,Label,Precision,Recall,F_Measure,lable in Data,lable in Test Data,TP,FP,FN,TN,Test Count,algorithm,label_algorithm
5,5,I7,0.3,0.12833333333333333,0.16857142857142854,34,3.4,0.4,0.5,3.0,62.7,66.6,OVR_RF,OVR_RF_I7
6,6,MM7,0.3,0.125,0.17333333333333334,24,2.4,0.3,0.1,2.1,64.1,66.6,OVR_RF,OVR_RF_MM7
7,7,SP1,0.26,0.11246753246753248,0.14666666666666667,89,8.9,1.0,2.8,7.9,54.9,66.6,OVR_RF,OVR_RF_SP1
8,8,MM6,0.2,0.13333333333333333,0.15,20,2.0,0.2,0.1,1.8,64.5,66.6,OVR_RF,OVR_RF_MM6
9,9,LI2,0.18916666666666665,0.09416666666666666,0.1188605512134924,72,7.2,0.7,2.4,6.5,57.0,66.6,OVR_RF,OVR_RF_LI2
10,10,F2,0.1,0.025,0.04,53,5.3,0.2,1.1,5.1,60.2,66.6,OVR_RF,OVR_RF_F2
11,11,FP5,0.1,0.03333333333333333,0.05,34,3.4,0.1,0.7,3.3,62.5,66.6,OVR_RF,OVR_RF_FP5
12,12,I6,0.05,0.014285714285714284,0.022222222222222227,40,4.0,0.1,0.8,3.9,61.8,66.6,OVR_RF,OVR_RF_I6
13,13,main,0.0457958029817019,0.031852457609888585,0.034890389374425686,0,0.0,0.0,0.0,0.0,0.0,0.0,OVR_RF,OVR_RF_main
0,0,CM,0.7523364350771861,0.9915584415584416,0.8528479099838364,295,29.5,29.2,9.5,0.3,27.6,66.6,CNN,CNN_CM
1,1,LI1,0.7012512624083593,0.9603599893305776,0.8084995634927971,348,34.8,33.4,14.3,1.4,17.5,66.6,CNN,CNN_LI1
2,2,F1,0.3795045082047371,0.4714370351870352,0.4061078064961025,149,14.9,7.0,12.3,7.9,39.4,66.6,CNN,CNN_F1
3,3,I1,0.3762846455269317,0.5000381468376824,0.42686294994556,177,17.7,9.0,14.7,8.7,34.2,66.6,CNN,CNN_I1
4,4,L2,0.3401076555023924,0.4489862914862915,0.3523444529326883,82,8.2,3.4,7.1,4.8,51.3,66.6,CNN,CNN_L2
5,5,SP1,0.32996031746031745,0.4759373959373959,0.375592213697073,89,8.899999999999997,4.3,7.3,4.6,50.4,66.6,CNN,CNN_SP1
6,6,LI2,0.322995337995338,0.5,0.3713761697239958,72,7.2,3.7,7.2,3.5,52.2,66.6,CNN,CNN_LI2
7,7,F2,0.2733333333333333,0.11845238095238092,0.15914141414141414,53,5.3,0.7,1.9,4.6,59.4,66.6,CNN,CNN_F2
8,8,L1,0.25,0.1,0.14,23,2.3,0.3,0.3,2.0,64.0,66.6,CNN,CNN_L1
9,9,I7,0.20857142857142855,0.3133333333333333,0.2358752358752359,34,3.4,1.0,3.0,2.4,60.2,66.6,CNN,CNN_I7
10,10,MM4,0.15,0.075,0.1,14,1.4,0.2,1.0,1.2,64.2,66.6,CNN,CNN_MM4
11,11,MM7,0.11428571428571427,0.225,0.13722222222222222,24,2.4,0.5,2.1,1.9,62.1,66.6,CNN,CNN_MM7
12,12,FP5,0.10333333333333332,0.08666666666666667,0.09,34,3.4,0.3,1.5,3.1,61.7,66.6,CNN,CNN_FP5
13,13,I6,0.1,0.014285714285714284,0.025,40,4.0,0.1,0.7,3.9,61.9,66.6,CNN,CNN_I6
14,14,D2,0.1,0.03333333333333333,0.05,10,1.0,0.1,0.1,0.9,65.5,66.6,CNN,CNN_D2
15,15,CC4,0.05,0.1,0.06666666666666668,4,0.4,0.1,0.2,0.3,66.0,66.6,CNN,CNN_CC4
16,16,MM6,0.05,0.03333333333333333,0.04,20,2.0,0.1,0.4,1.9,64.2,66.6,CNN,CNN_MM6
17,17,main,0.04991359109353841,0.059294502461385526,0.05040361941051173,0,0.0,0.0,0.0,0.0,0.0,0.0,CNN,CNN_main
18,18,I8,0.04,0.06666666666666668,0.05,22,2.2,0.2,0.9,2.0,63.5,66.6,CNN,CNN_I8
